¿¤¥«,§Ç¸¹,¤p¦Y¦WºÙ,¥D­¹§÷/¥D¨ý,¨¯­»®Æ,Âæ®Æ/´ö©³,ªo­»/¸üÅé,²M­»/¦¬§À,§g,¦Ú,¦õ,¨Ï,«ØÄ³­»®ð°t¤ñ,¥DÃD,¤ä¼µ,­×¹¢,²M«G,¦¬§À,«e½Õ,¤¤½Õ,«á½Õ,­·¨ý­·ÀI/­×¥¿´£¿ô,¸ê®Æ¨Ó·½/°Ñ¦ÒURL
¶³ªL¿¤,2,¤g®wÀn¦×ÄÑ½u,Àn¦×¡BÄÑ½u,Á¤µ·¡B­J´Ô,´ö©³,Ànªo,ªàµæ,Àn¦×,ÄÑ½u´ö,Á¤­J´Ô,ªàµæ,Àn¦×40%¡BÄÑ½u25%¡BÁ¤15%¡B­J´Ô10%¡Bªàµæ10%,5,3,3,3,3,3,4,3,ÄÑ½u§l´ö¬O­«ÂI,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¶³ªL¿¤,3,¦èÁ³Âæªo¤p¦Y,¨§¤z/¦×/¦Ì­¹,¤K¨¤¡B®Û¥Ö,¦èÁ³Âæªo,º±ªo,½µ»[,Âæªo­»,¥D­¹§÷,¤K¨¤®Û¥Ö,½µ»[,Âæªo40%¡B¥D­¹§÷35%¡B¤K¨¤®Û¥Ö15%¡B½µ»[10%,5,4,3,1,4,2,4,4,Âæªo«~½è¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¶³ªL¿¤,4,¤æ¤»¾{³½Ã¼,¾{³½¡BÃ¼´ö,¥Õ­J´Ô¡B»[¶p,Ã¼´öÂæªo,ªo½µ,­»µæ,¾{³½ÂA¨ý,Ã¼´ö,­J´Ô»[¶p,­»µæ,¾{³½35%¡BÃ¼´ö30%¡B¥Õ­J´Ô10%¡B»[¶p10%¡B­»µæ15%,5,4,3,3,2,3,4,2,Ã¼´ö¤£¯à¤Ó½k,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¶³ªL¿¤,5,¥j§|©@°ØÂI¤ß,©@°Ø¡B²¢ÂI,©@°ØµH­»,¿}/¥¤,¥¤ªo,µL,©@°Ø­»,²¢ÂIÅé,¿}¥¤,¯MµH§ÀÃý,©@°Ø40%¡B²¢ÂI30%¡B¿}¥¤20%¡B¯MµH­»10%,4,3,2,2,4,3,3,4,©@°Ø­W­»»P²¢¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¥«,1,¤õÂû¦×¶º,¤õÂû¦×¡B¥Õ¶º,¥Õ­J´Ô,Âæªo¥Ä,Âûªo¡Bªo½µ,¾Mµæ/­»µæ,¤õÂû¦×,Âûªo¶º,¥Õ­J´Ô,ªo½µÂæ¥Ä,¤õÂû¦×35%¡BÂûªo25%¡Bªo½µ20%¡BÂæªo15%¡B¥Õ­J´Ô5%,5,4,2,2,5,2,4,5,Âûªo¤£¨¬¥¢¥hÆF»î,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
¹Å¸q¥«,2,¬âÁç³½ÀY,¬µ³½ÀY¡B¥Õµæ¡B´ö,¨F¯ù¡B»[¡B»¶´Ô,Âæªo/°ª´ö,¬µªo,¥Õµæ²¢¨ý,³½ÀY´ö,¥Õµæ°ª´ö,¨F¯ù»[»¶,´öÁç¿Ä¦X,³½ÀY35%¡B´ö©³25%¡B¨F¯ù20%¡B»[»¶10%¡B¥Õµæ10%,5,5,4,2,5,2,5,5,¨F¯ù¹L­«·|»\ÂA¨ý,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¥«,3,¹Å¸q²DÄÑ,²DÄÑ,»[ªd,¥Õ¾L/Âæªo,ªÛ³ÂÂæ,¤p¶À¥Ê,²DÄÑªÛ³Â,Âæ¥Ä,»[ªd¥Õ¾L,¤p¶À¥Ê,ÄÑ35%¡BªÛ³ÂÂæ25%¡B»[ªd15%¡B¥Õ¾L15%¡B¤p¶À¥Ê10%,5,4,4,4,3,4,4,2,»[»P¾L¨M©w²M²n·P,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¥«,4,¨§ªá,¨§ªá¡B¿}¤ô,Á¤¥Ä¥i¿ï,¿}¤ô,µL,¨§­»,¨§ªá,¿}¤ô,Á¤¥Ä,¿}¤ô¸üÅé,¨§ªá45%¡B¿}¤ô35%¡BÁ¤¥Ä10%¡B°t®Æ10%,4,3,1,3,2,3,3,2,¿}¤ô¤£¥i¹L²¢,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¥«,5,Âû¦×¶º,Âû¦×µ·¡B¥Õ¶º,¥Õ­J´Ô,Âæ¥Ä,Âûªoªo½µ,¾Mµæ,Âû¦×,Âûªo¶º,­J´Ô,ªo½µ,Âû¦×35%¡BÂûªo25%¡Bªo½µ20%¡BÂæ¥Ä15%¡B­J´Ô5%,5,4,2,2,5,2,4,5,»P¤õÂû¦×¶ºÅÞ¿è¬Ûªñ,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
¹Å¸q¿¤,1,ªF¥Û³H¥J·Î,³H¥J¡B³J¡B¯»¼ß,»[ªd¡B­J´Ô,²¢»¶Âæ,·Îªo,«Cµæ,³H¥J,³J¯»¼ß,»[­J´Ô,²¢»¶Âæ,³H¥J35%¡B³J20%¡B²¢»¶Âæ25%¡B»[ªd10%¡B­J´Ô10%,5,3,3,3,2,3,4,2,®ü¨ý¤£¥i³QÂæ»\±¼,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¿¤,2,¥¬³U®üÂAµ°,®üÂA¡B¦Ìµ°,Á¤µ·¡B¥Õ­J´Ô,ÆQÂA´ö,¤Ö¶qªo½µ,ªàµæ,®üÂA,¦Ìµ°´ö©³,Á¤­J´Ô,ªàµæ,®üÂA40%¡Bµ°©³30%¡BÁ¤10%¡B­J´Ô10%¡Bªàµæ10%,5,3,3,4,2,3,3,2,²MÂA¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¿¤,3,¥Á¶¯ÃZ¦×,ÃZ¦×,Á¤¡B»[¡B­J´Ô,ªgÂæ,ÃZªo,¤E¼h¶ð/½µ,ÃZ¦×,ÃZªo,Á¤»[­J´Ô,ªgÂæ,ÃZ¦×45%¡BÃZªo20%¡BÁ¤»[15%¡BªgÂæ15%¡B²M­»5%,5,4,3,2,4,2,4,4,Á¤»[¬O¸Ñ¿°¦õ,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¿¤,4,·s´ä¹~,³ÁªÞ¿}¡Bªá¥Í¯»,ªÛ³Â,¿},°íªGªo¯×,µL,³ÁªÞ¿},ªá¥Í¯»,ªÛ³Â,²¢­»¦¬§À,³ÁªÞ45%¡Bªá¥Í25%¡BªÛ³Â15%¡B¿}15%,4,3,2,1,4,2,3,4,²¢«×¤f·P³Ì­«­n,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹Å¸q¿¤,5,¦µ¤l¤p¦Y¦Ì¿|,Äz¦Ì¡B¦×Àê,¤­­»¡B­J´Ô,Âæªo¦×Àê,ªo½µ,­»µæ,Äz¦Ì,¦×Àê,¤­­»­J´Ô,ªo½µ­»µæ,Äz¦Ì35%¡B¦×Àê30%¡Bªo½µ15%¡B¤­­»10%¡B­»µæ10%,5,4,3,2,4,2,4,4,Äz¦Ì»P¦×Àê¤ñ¨Ò,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x«n¥«,1,¾á¥JÄÑ,½¼´ö¡B¦×Àê¡BÄÑ,»[ªd¡B¥Õ­J´Ô,Âæªo¦×Àê,ªo½µ,­»µæ/»[­],½¼´ö¦×Àê,ÄÑÅé,»[­J´Ô,ªo½µ,½¼´ö30%¡B¦×Àê30%¡B»[­»15%¡Bªo½µ15%¡B­J´Ô10%,5,4,3,3,4,3,4,4,½¼´ö»P¦×Àê¬OÂù¥D¶b,https://eng.taiwan.net.tw/m1.aspx?sNo=0002040
¥x«n¥«,2,¤û¦×´ö,·ÅÅé¤û¡B²M´ö,Á¤µ·¡B¦Ì°s,ÆQÂA´ö,¤û¯×,½µªá,¤û¦×ÂA¨ý,²M´ö,Á¤°s,½µªá,¤û¦×45%¡B²M´ö30%¡BÁ¤10%¡B¦Ì°s10%¡B½µ5%,5,3,3,4,2,4,3,2,­»®Æ¤£¯àÀ£¤ûÂA,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x«n¥«,3,¸Jã_,¦Ì¼ß¡B¦×Àê¡B³J¶À,¤­­»¡B¥Õ­J´Ô,Âæªo»I,ªo½µ,­»µæ/»[ªd,¦Ìã_,¦×Àê,¤­­»­J´Ô,Âæªo»I»[ªd,¦Ìã_40%¡B¦×Àê25%¡BÂæªo»I20%¡B¤­­»10%¡B»[ªd5%,5,4,3,2,4,2,4,4,Âæ»I»P¦Ì­»­n¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x«n¥«,4,½¼¤¯¶º,½¼¤¯¡B¦Ì¶º,»[¡B­J´Ô,Âæªo/½¼´ö,½Þªo/½¼ªo,½µ,½¼¤¯,¦Ì¶º½¼´ö,»[­J´Ô,½¼ªo,½¼¤¯40%¡B¶º30%¡B½¼´ö15%¡B»[­J´Ô10%¡B½µ5%,5,4,3,3,4,3,4,4,½¼­»¬O§g,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
¥x«n¥«,5,ªë¥Ø³½µ°,ªë¥Ø³½¡B¦Ìµ°,Á¤µ·¡B¥Õ­J´Ô,ÆQÂA´ö,¤Ö¶qªo½µ,ªàµæ,ªë¥Ø³½ÂA¨ý,µ°©³,Á¤­J´Ô,ªàµæ,³½45%¡Bµ°©³30%¡BÁ¤10%¡B¥Õ­J´Ô10%¡Bªàµæ5%,5,3,3,4,2,3,3,2,³½ÂA»PÁ¤ªº¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
°ª¶¯¥«,1,Àn¦×¶º,Àn¦×¡B¶º,Á¤¡B»[¡B­J´Ô,Âæªoº±¥Ä,Ànªoªo½µ,»Äµæ/½µ,Àn¦×,º±¥Ä¶º,Á¤»[­J´Ô,ªo½µ,Àn¦×40%¡BÂæªo25%¡BÁ¤»[15%¡Bªo½µ10%¡B­J´Ô10%,5,4,4,2,5,2,4,5,Ànªo»Pº±¥Ä¬O­«ÂI,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
°ª¶¯¥«,2,¦ÂÀY¤õÁç¨F¯ù,¤û¦×¡B´ö¡B¨F¯ù,¨F¯ù¡B»[¡B»¶´Ô,Âæªo/¨F¯ùÂæ,¤ûªo/¨F¯ùªo,½µ»[,¨F¯ù¤û¦×,´ö©³,»[»¶,¨F¯ùªo,¤û¦×35%¡B¨F¯ù30%¡B´ö©³20%¡B»[»¶10%¡B½µ5%,5,5,5,2,5,3,5,5,¨F¯ù®e©öÀ£¥D­¹§÷,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
°ª¶¯¥«,3,ÆQÑL¦Ì¿|,Äz¦Ì¡B¦×Àê,¤­­»¡B­J´Ô,Âæªo»I,ªo½µ,­»µæ/¤p¶À¥Ê,Äz¦Ì,¦×ÀêÂæ,¤­­»­J´Ô,ªo½µ,Äz¦Ì35%¡B¦×Àê30%¡BÂæªo»I20%¡B¤­­»10%¡B²M­»5%,5,4,3,2,4,2,4,4,Äz¦Ì¤£¯à¤ÓÀã,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
°ª¶¯¥«,4,¤ì¥Ê¤û¥¤,¤ì¥Ê¡B¤û¥¤,µL,¿},¥¤¯×,¤ôªG²M­»,¤ì¥Ê,¤û¥¤,¿},§N¶¼¸üÅé,¤ì¥Ê45%¡B¤û¥¤35%¡B¿}15%¡B²M­»5%,5,3,1,4,2,5,3,1,¼ô«×»P²¢«×¨M©w¦¨±Ñ,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
°ª¶¯¥«,5,ºX¬z®üÂAµ°,®üÂA¡B¦Ìµ°,Á¤µ·¡B­J´Ô,ÆQÂA´ö,¤Ö¶qªo½µ,ªàµæ,®üÂA,µ°©³,Á¤­J´Ô,ªàµæ,®üÂA45%¡Bµ°©³30%¡BÁ¤10%¡B­J´Ô10%¡Bªàµæ5%,5,3,3,4,2,3,3,2,®üÂAÂA¨ý¤£¥i³Q»\,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«ÌªF¿¤,1,¸UÅr½Þ¸},½Þ¸}½¦½è,¤K¨¤¡B®Û¥Ö¡B¥Ì¯ó,Âæªo¡B»[»TÂæ,½Þ¥Ö½¦¯×,»[»T²M»¶,½Þ¸},Âæªoº±­»,¤K¨¤®Û¥Ö¥Ì¯ó,»[»TÂæ,½Þ¸}35%¡BÂæªo25%¡B»[»T20%¡B¤K¨¤®Û¥Ö15%¡B¥Ì¯ó5%,5,5,4,2,5,2,5,5,»[»TÂæ¸Ñ¿°,https://wanluan-travels.tw/tour/%E8%90%AC%E5%B7%92%E8%B1%AC%E8%85%B3%E8%A1%97/
«ÌªF¿¤,2,ªF´ä¦×ã_,¦Ìã_¡B¦×Àê¡B³½¼ß/¦×À`,­J´Ô¡B»[,Âæªo»I,ªo½µ,­»µæ,¦Ìã_,¦×Àê,­J´Ô»[,Âæªo»I,¦Ìã_35%¡B¦×Àê30%¡BÂæªo»I20%¡B­J´Ô10%¡B­»µæ5%,5,4,3,2,4,2,4,4,Âæ»I±±¨î­«ÂI,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«ÌªF¿¤,3,¶ÂÂC³½®Æ²z,¶ÂÂC³½,ªã¥½/Á¤,Âæªo,³½¯×,½µ/µµÄ¬,³½ÂA¯×­»,Âæªo,ªã¥½Á¤,²M­»,³½60%¡BÂæªo20%¡Bªã¥½/Á¤10%¡B²M­»10%,5,3,3,4,3,4,3,2,½Õ¨ý¶V¤Ö¶VÅãÂA,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«ÌªF¿¤,4,«ÌªF¦×¶ê,¥~¥Ö¦×À`,¤­­»¡B­J´Ô,²¢»¶Âæ¡B»[ªd,ªo­»,­»µæ,¦×À`¥~¥Ö,Âæ¥Ä,¤­­»­J´Ô»[,­»µæ,¦×À`30%¡B¥~¥Ö25%¡BÂæ¥Ä25%¡B¤­­»10%¡B»[­»10%,5,4,3,2,3,3,4,3,Âæ®Æ»P¥Ö¤f·P¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«ÌªF¿¤,5,«í¬Kºñ¨§»[,ºñ¨§¤¯¡B¿}¤ô,µL/¤Ö¶qÁ¤,¿}¤ô,µL,¦B/¼ö¸üÅé,ºñ¨§¤¯,¿}¤ô,Á¤¥i¿ï,§N¼ö¤f·P,ºñ¨§50%¡B¿}¤ô35%¡BÁ¤/²M­»5%¡B°t®Æ10%,4,3,1,3,2,3,3,2,²¢«×»P¨§­»¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
©yÄõ¿¤,1,¤T¬P½µ»æ,¤T¬P½µ¡BÄÑ¥Ö,¥Õ­J´Ô¡BÆQ,µL,·Îªo,½µ­»,¤T¬P½µ,ÄÑ¥Ö,­J´ÔÆQ,ªo·Î­»,½µ­»45%¡BÄÑ¥Ö25%¡Bªo­»15%¡B­J´Ô10%¡BÆQ5%,5,3,2,4,3,4,4,3,­J´Ô¤£¯à»\½µ,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
©yÄõ¿¤,2,¤R¦×,½Þ¦×±ø,»[¡B­J´Ô¡B¤­­»,Âæªo¾M®Æ,¬µªo,¤E¼h¶ð¥i¿ï,¬µ¦×,¾M®Æ,»[­J´Ô¤­­»,¬µ­»,½Þ¦×40%¡BÂæªo20%¡B»[­J´Ô20%¡B¬µ­»15%¡B²M­»5%,5,4,4,2,4,3,4,4,¬µªo«~½è«Ü­«­n,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
©yÄõ¿¤,3,¿|´í,Âû´ö¿|Åé,¥Õ­J´Ô,Âû´öÄÐÂA,¬µªo,µL,Âû´ö¿|Åé,¥~¶p¤º¹à,¥Õ­J´Ô,¬µ­»,Âû´ö¿|45%¡B¬µ­»25%¡B¥Õ­J´Ô10%¡BÄÐÂA20%,5,4,2,1,4,2,4,4,¼ö«×»P¤f·P¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
©yÄõ¿¤,4,Àn½à,·ÏÂtÀn¦×,­J´Ô¡B»[­],ÄÐ­»,Ànªo,»[­],Àn¦×·ÏÂt,ÄÐ­»,­J´Ô,»[­],Àn½à45%¡B·ÏÂt25%¡B­J´Ô10%¡B»[­]20%,5,4,3,2,5,2,4,5,·ÏÂtÄÐ«×»Ý±±,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
©yÄõ¿¤,5,¦Ì¯»Ã¼,¦Ì¯»¡BÃ¼´ö,¥Õ­J´Ô¡B»[¶p,Ã¼´öÂæªo,ªo½µ,­»µæ,¦Ì¯»Ã¼,´ö©³,­J´Ô»[¶p,­»µæ,¦Ì¯»35%¡BÃ¼´ö30%¡Bªo½µ15%¡B­J´Ô10%¡B­»µæ10%,5,4,3,3,3,3,4,3,¤ÄÍÀ»P­J´Ô¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ªá½¬¿¤,1,ªá½¬«ó­¹,À_¶»¦×À`¡B²M´ö,¥Õ­J´Ô,²M´ö,ªo½µ,ªàµæ½µªá,¦×À`´ö,À_¶»¥Ö,¥Õ­J´Ô,ªàµæªo½µ,¦×À`35%¡B´ö©³30%¡B­J´Ô10%¡Bªo½µ15%¡Bªàµæ10%,5,3,2,4,2,3,3,2,´ö­n²M¡B¥ÖÀ`­n¤À©ú,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ªá½¬¿¤,2,¤½¥¿¥]¤l,¥]¤l¥Ö¡B¦×À`,­J´Ô¡B½µÁ¤,Âæªo,¦×¥Äªo­»,½µ,¦×À`,¥]¤l¥Ö,­J´Ô½µÁ¤,»]®ð¼ô¤Æ,¦×À`40%¡B¥]¤l¥Ö30%¡B½µÁ¤15%¡BÂæªo10%¡B­J´Ô5%,5,4,3,2,4,2,4,4,¥ÖÀ`¤ñ¨Ò­«ÂI,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ªá½¬¿¤,3,³Âò­,Äz¦Ì¡Bªá¥Í/ªÛ³Â,ªÛ³Â­»,¿},°íªGªo¯×,µL,Äz¦Ì¤f·P,ªá¥ÍªÛ³Â,¿}­»,°íªG§ÀÃý,Äz¦Ì40%¡Bªá¥ÍªÛ³Â35%¡B¿}20%¡B·LÆQ5%,4,4,2,1,3,2,4,3,²¢«×»P¤f·P¬°®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ªá½¬¿¤,4,¬µ³J½µªo»æ,½µªo»æ¡B³J,­J´Ô¡B»¶´ÔÂæ,Âæªo»I,¬µªo,½µ,»æ»P³J,ªo­»,­J´Ô»¶Âæ,½µ­»,»æ35%¡B³J25%¡B¬µ­»20%¡B­J´Ô»¶Âæ10%¡B½µ10%,5,4,3,3,4,4,4,3,ªo­»«Ü±j»Ý²M¤f,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ªá½¬¿¤,5,­é¥Ö»¶´ÔÂû´ö,Âû¦×¡B­é¥Ö»¶´Ô,Á¤¡B­J´Ô,Âæ¥Ä´ö©³,Âûªo,»¶´Ô²M²¢,Âû´ö,­é¥Ö»¶´Ô,Á¤­J´Ô,»¶´Ô¾É¨ý,Âû¦×35%¡B­é¥Ö»¶´Ô30%¡B´ö©³20%¡BÁ¤10%¡B­J´Ô5%,5,4,4,3,4,3,5,4,»¶´Ô²¢­»¬O¥D¶b,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥xªF¿¤,1,¥xªF¦Ì­a¥Ø,¦Ì­a¥Ø¡B´ö/¦×Àê,¥Õ­J´Ô,Âæªo/®ã³½´ö,ªo½µ,ªàµæ,¦Ì­a¥Ø,´ö©³¦×Àê,¥Õ­J´Ô,ªàµæªo½µ,¦Ì­»30%¡B´ö©³30%¡Bªo½µ15%¡B­J´Ô10%¡Bªàµæ15%,5,3,3,3,3,3,4,3,¦Ì»s¤f·P¬°¥D,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥xªF¿¤,2,¨õ«n½Þ¦å´ö,½Þ¦å¡B´ö,­´µæ¡B¥Õ­J´Ô,ÄÐ´ö,ªo½µ,­´µæ,½Þ¦å¤f·P,´ö©³,¥Õ­J´Ô,­´µæ,½Þ¦å40%¡B´ö©³25%¡B­´µæ20%¡B­J´Ô10%¡Bªo½µ5%,5,3,3,3,2,3,3,2,­´µæ»P­J´Ô´£®ð,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥xªF¿¤,3,ÄÀ­{²¢«~,ÄÀ­{ªG¦×,µL,¿}/¥¤,¥¤¯×¥i¿ï,¤ôªG­»,ÄÀ­{ªG­»,¥¤/¦B,¿},§N¶¼¸üÅé,ÄÀ­{55%¡B¥¤/¦B25%¡B¿}15%¡B²M­»5%,5,2,1,5,1,5,2,1,¤ôªG¼ô«×¨M©w­·¨ý,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥xªF¿¤,4,®ã³½´ö¤p¦Y,®ã³½´ö¡B¦Ì­¹/ÄÑ,¥Õ­J´Ô¡BÁ¤,®ã³½´ö,¤Ö¶qªo½µ,ªàµæ,®ã³½ÂA¨ý,¥D­¹§÷,Á¤­J´Ô,ªàµæ,®ã³½´ö40%¡B¥D­¹30%¡BÁ¤10%¡B­J´Ô10%¡Bªàµæ10%,5,3,3,4,2,4,3,2,´öÂA»P­J´Ô¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥xªF¿¤,5,­ì¥Á¯N¦×,¤s½Þ¦×/¦×¦ê,ÆQ¡B­J´Ô¡B°¨§i/¤s­J´Ô,¾M®Æ,¯Nªo¯×,»[/½µ,¯N¦×,¾M®Æ,°¨§i­J´Ô,¬´¯N­»,¦×45%¡B¾M®Æ20%¡B°¨§i/­J´Ô15%¡B¯N­»15%¡B²M­»5%,5,4,4,2,5,3,4,5,°¨§i¤£¥i¹L¶q,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¼ê´ò¿¤,1,¤pºÞÄÑ½u,¤pºÞ¡BÄÑ½u¡B®üÂA´ö,Á¤µ·¡B¥Õ­J´Ô,ÆQÂA´ö,¤Ö¶qªo½µ,ªàµæ,¤pºÞÂA¨ý,ÄÑ½u´ö,Á¤­J´Ô,ªàµæ,¤pºÞ45%¡B´ö©³25%¡BÁ¤µ·10%¡B¥Õ­J´Ô10%¡Bªàµæ»[¶p10%,5,3,3,4,2,3,3,2,­»®Æ¤£¥iÀ£®üÂA,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¼ê´ò¿¤,2,¥P¤H´x¦B,¥P¤H´xªG¡B¦B,»Ä­»,¿},µL,ªG»Ä²M­»,ªG­»»Ä¨ý,¦B¬â,¿},§N¶¼¸üÅé,¥P¤H´x45%¡B¦B30%¡B¿}15%¡B»Ä­»10%,4,2,2,5,1,5,2,1,»Ä²¢¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¼ê´ò¿¤,3,ªáªK¤Y,ªáªK¼ß,¥Õ­J´Ô,ÆQÂA,¬µ/µN­»,µL/ªàµæ,ªáªKÂA¼u,³½¼ßµ²ºc,­J´Ô,²M´ö/¬µ­»,ªáªK50%¡B³½¼ß20%¡B­J´Ô10%¡BÆQÂA10%¡B²M­»10%,5,3,2,3,2,3,3,2,¤f·P»PÂA¨ý¬°¥D,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¼ê´ò¿¤,4,¶Â¿}¿|,¶Â¿}¡B¦Ì¯»/ÄÑ¯»,¶Â¿}µJ­»,¿},»]¿|­»,µL,¶Â¿},¿|Åé,µJ¿}­»,»]®ð¼ô¤Æ,¶Â¿}45%¡B¿|Åé35%¡BµJ­»15%¡B·LÆQ5%,4,4,2,1,4,2,4,4,²¢«×»P¼u©Ê,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¼ê´ò¿¤,5,®üµæ·Î»æ,®üµæ¡BÄÑ½k,­J´Ô¡B»[,Âæªo¥i¿ï,·Îªo,®üµæ²M­»,®üµæ,ÄÑ½k,­J´Ô»[,·Î­»,®üµæ40%¡BÄÑ½k30%¡B»[­J´Ô15%¡B·Î­»15%,5,3,3,3,3,3,3,3,®üµæ¨ý¤£¥i³Qªo»\,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ª÷ªù¿¤,1,ª÷ªù¼sªFµ°,¦Ìµ°¡B¦×¤Y¡B³J,¥Õ­J´Ô¡BÁ¤,ÄÐµ°´ö,ªo½µ,ªàµæ,µ°©³,¦×¤Y³J,­J´ÔÁ¤,ªàµæªo½µ,¦Ìµ°35%¡B¦×¤Y³J30%¡B¥Õ­J´Ô15%¡Bªàµæ10%¡Bªo½µÁ¤10%,5,4,3,3,3,3,4,3,¥Õ­J´Ô¬OÆF»î¦ý»Ý±±¶q,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ª÷ªù¿¤,2,³HÜÝ,³H¥J¡BÄÑ½k¡B­´µæ,­J´Ô¡B»[,Âæªo/²¢»¶Âæ,¬µªo,­´µæ,³H¥J,ÄÑ½k­´µæ,­J´Ô»[,¬µ­»,³H¥J35%¡BÄÑ½k25%¡B­´µæ20%¡B­J´Ô10%¡BÂæ10%,5,4,3,3,3,4,4,3,¬µªo»P³HÂA¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ª÷ªù¿¤,3,ª÷ªù¿N»æ,ÄÑ¥Ö¡Bªo¶p,ªÛ³Â,ÆQ/¿},ªo¶p,µL,¿N»æ¶p­»,ªo¶p,ªÛ³Â,¯MµH,ÄÑ¥Ö40%¡Bªo¶p30%¡BªÛ³Â20%¡BÆQ¿}10%,4,4,2,1,4,2,4,4,¶p¯Ü»PªÛ³Â­»,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ª÷ªù¿¤,4,¤û¦×°®,¤û¦×,¤­­»¡B­J´Ô¡B»¶´Ô,Âæªo¿},¦×¯×,µL,¤û¦×,Âæªo¿},¤­­»­J´Ô»¶,°®Àê¼ô¤Æ,¤û¦×45%¡BÂæªo¿}25%¡B¤­­»15%¡B»¶´Ô10%¡B­J´Ô5%,5,4,4,1,5,2,4,5,°®Àê»P²¢ÄÐ¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
ª÷ªù¿¤,5,°ª¸d­»¸z,½Þ¦×­»¸z,°ª¸d°s¡B­J´Ô¡B¤­­»,¿}ÆQ,¦×¯×,»[¤ù,°ª¸d¦×­»,¦×¯×,¤­­»­J´Ô,»[¤ù,¦×­»40%¡B°ª¸d°s25%¡B¤­­»15%¡B¿}ÆQ10%¡B»[10%,5,4,4,2,5,3,4,5,°s­»¤£¥i¨ë»ó,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
³s¦¿¿¤,1,¦Ñ°sÄÑ½u,¦Ñ°s¡BÄÑ½u¡B³J/Âû¦×,Á¤¡B¥Õ­J´Ô,¦Ñ°s´ö©³,³Âªo,½µ,¦Ñ°s­»,Á¤³Âªo,­J´Ô,°s­»´§µo,¦Ñ°s35%¡BÁ¤20%¡B³Âªo20%¡BÄÑ½u´ö©³15%¡B­J´Ô10%,5,4,4,3,4,4,4,4,¦Ñ°s¬O§g¤]¬O¨Ï,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
